Lil Mosey - Blueberry Faygo | Artist Average: 9413663.17 | Streams Average: 9413663.17
BTS - Boy With Luv (feat. Halsey) | Artist Average: 15750370.00 | Streams Average: 4853675.60
21 Savage - Brand New Draco | Artist Average: 6662622.00 | Streams Average: 5841110.00
Dua Lipa - Break My Heart | Artist Average: 8595342.25 | Streams Average: 8021924.83
Topic - Breaking Me | Artist Average: 13794121.17 | Streams Average: 13794121.17
Lewis Capaldi - Bruises | Artist Average: 11497775.42 | Streams Average: 4539516.00
Damso - BXL ZOO | Artist Average: 5097888.50 | Streams Average: 5101640.00
Ozuna - Caramelo | Artist Average: 9565680.25 | Streams Average: 10434443.83
Ozuna - Caramelo - Remix | Artist Average: 9444985.90 | Streams Average: 5982369.67
Taylor Swift - cardigan | Artist Average: 5694434.00 | Streams Average: 5951067.67
Sebastian Yatra - Chica Ideal | Artist Average: 5997925.00 | Streams Average: 5997925.00
Drake - Chicago Freestyle (feat. Giveon) | Artist Average: 11889309.36 | Streams Average: 4799038.00
Post Malone - Circles | Artist Average: 7282902.89 | Streams Average: 8903826.50
Juice WRLD - Come & Go (with Marshmello) | Artist Average: 8182071.08 | Streams Average: 12048180.83
Jhay Cortez - CÓMO SE SIENTE - Remix | Artist Average: 4726099.50 | Streams Average: 4726099.50
BLACKPINK - Crazy Over You | Artist Average: 10152610.61 | Streams Average: 8226121.67
Juice WRLD - Conversations | Artist Average: 8180584.00 | Streams Average: 4805366.00
The Neighbourhood - Daddy Issues | Artist Average: 5705974.86 | Streams Average: 5101775.50
Ashnikko - Daisy | Artist Average: 8080535.83 | Streams Average: 8080535.83
Tones And I - Dance Monkey | Artist Average: 12519341.50 | Streams Average: 12519341.50
Joji - Daylight | Artist Average: 5292616.00 | Streams Average: 6819838.00
Powfu - death bed (coffee for your head) | Artist Average: 10899244.50 | Streams Average: 10899244.50
Fousheé - Deep End | Artist Average: 7655617.50 | Streams Average: 7655617.50
Ozuna - Despeinada | Artist Average: 9400369.59 | Streams Average: 10878860.67
Damso - DEUX TOILES DE MER | Artist Average: 5094137.00 | Streams Average: 5094137.00
Sam Smith - Diamonds | Artist Average: 8091945.33 | Streams Average: 8091945.33
Pop Smoke - Dior | Artist Average: 11259938.68 | Streams Average: 6738968.33
Aya Nakamura - Djadja (feat. Maluma) - Remix | Artist Average: 7650482.33 | Streams Average: 7650482.33
Gunna - DOLLAZ ON MY HEAD (feat. Young Thug) | Artist Average: 4974761.20 | Streams Average: 4974761.20
Lil Tecca - Dolly (with Lil Uzi Vert) | Artist Average: 4800543.00 | Streams Average: 4800543.00
Daddy Yankee - Don Don | Artist Average: 6311116.83 | Streams Average: 6311116.83
Fleetwood Mac - Dreams - 2004 Remaster | Artist Average: 12294821.40 | Streams Average: 12294821.40
Machine Gun Kelly - drunk face | Artist Average: 7537435.71 | Streams Average: 4834258.00
BTS - Dynamite | Artist Average: 16841021.91 | Streams Average: 26830477.17
Dua Lipa - Don't Start Now | Artist Average: 8703515.82 | Streams Average: 10243436.17
CORPSE - E-GIRLS ARE RUINING MY LIFE! | Artist Average: 4954197.00 | Streams Average: 4954197.00
Camilo - El Mismo Aire - con Pablo Alborán | Artist Average: 7931709.40 | Streams Average: 5059491.60
BØRNS - Electric Love | Artist Average: 7003816.67 | Streams Average: 7003816.67
Rauw Alejandro - Elegí (feat. Dímelo Flow) | Artist Average: 7802796.50 | Streams Average: 5096832.60
Rauw Alejandro - Enchule | Artist Average: 6295571.25 | Streams Average: 5141631.00
Polo G - Epidemic | Artist Average: 6070793.33 | Streams Average: 6292620.00
Billie Eilish - everything i wanted | Artist Average: 6157610.04 | Streams Average: 5930507.00
Joji - Ew | Artist Average: 5419053.62 | Streams Average: 6936305.00
Taylor Swift - exile (feat. Bon Iver) | Artist Average: 5410406.67 | Streams Average: 4924533.00
Lauv - Fake | Artist Average: 5287383.00 | Streams Average: 5287383.00
Trevor Daniel - Falling | Artist Average: 7551177.83 | Streams Average: 7551177.83
Harry Styles - Falling | Artist Average: 11511937.59 | Streams Average: 6582605.83
Camilo - Favorito | Artist Average: 7828923.50 | Streams Average: 6251283.83
Bea Miller - feel something | Artist Average: 5658588.50 | Streams Average: 5658588.50
Pop Smoke - For The Night (feat. Lil Baby & DaBaby) | Artist Average: 11482191.76 | Streams Average: 21859671.67
Luke Combs - Forever After All | Artist Average: 12906619.00 | Streams Average: 12906619.00
Machine Gun Kelly - forget me too (feat. Halsey) | Artist Average: 7520454.33 | Streams Average: 6604364.67
Travis Scott - FRANCHISE (feat. Young Thug & M.I.A.) | Artist Average: 8233923.90 | Streams Average: 10072328.80
Kina - Get You The Moon (feat. Snøw) | Artist Average: 4836709.83 | Streams Average: 4836709.83
Joji - Gimme Love | Artist Average: 5565643.29 | Streams Average: 7471309.00
21 Savage - Glock In My Lap | Artist Average: 7166668.29 | Streams Average: 7784005.50
The Kid LAROI - GO (feat. Juice WRLD) | Artist Average: 6272797.00 | Streams Average: 4618993.00
Chris Brown - Go Crazy | Artist Average: 8079776.44 | Streams Average: 9730351.67
Bonez MC - Angeklagt | Artist Average: 7217633.00 | Streams Average: 7217633.00
Harry Styles - Golden | Artist Average: 7193378.50 | Streams Average: 7308044.00
6ix9ine - GOOBA | Artist Average: 4690955.00 | Streams Average: 4690955.00
Travis Scott - goosebumps | Artist Average: 8200811.04 | Streams Average: 8463909.00
Pop Smoke - Got It On Me | Artist Average: 11369342.68 | Streams Average: 5858198.67
DJ Khaled - GREECE (feat. Drake) | Artist Average: 10551640.82 | Streams Average: 7903966.83
Marshmello - Happier | Artist Average: 5433889.06 | Streams Average: 4875105.33
Anuel AA - Hasta Que Dios Diga | Artist Average: 5792282.00 | Streams Average: 5792282.00
Juice WRLD - Hate The Other Side (with Marshmello & The Kid Laroi) | Artist Average: 7989329.47 | Streams Average: 4945574.50
G-Eazy - Hate The Way (feat. blackbear) | Artist Average: 5116071.00 | Streams Average: 5116071.00
Maluma - Hawái | Artist Average: 13530627.06 | Streams Average: 27332467.50
Joel Corry - Head & Heart (feat. MNEK) | Artist Average: 19046560.67 | Streams Average: 19046560.67
Ofenbach - Head Shoulders Knees & Toes (feat. Norma Jean Martine) | Artist Average: 5154414.00 | Streams Average: 5154414.00
Miley Cyrus - Heart Of Glass (Live from the iHeart Festival) | Artist Average: 7960069.14 | Streams Average: 5177422.25
Conan Gray - Heather | Artist Average: 16331053.17 | Streams Average: 16331053.17
Pop Smoke - Hello (feat. A Boogie Wit da Hoodie) | Artist Average: 11514593.06 | Streams Average: 5770350.00
Travis Scott - HIGHEST IN THE ROOM | Artist Average: 8177473.73 | Streams Average: 7535481.00
Justin Bieber - Holy (feat. Chance The Rapper) | Artist Average: 16149054.71 | Streams Average: 23196517.50
blackbear - hot girl bummer | Artist Average: 5348734.00 | Streams Average: 5348734.00
Kygo - Hot Stuff | Artist Average: 4761136.80 | Streams Average: 4569978.00
BLACKPINK - How You Like That | Artist Average: 11713597.68 | Streams Average: 11195170.17
TWICE - I CAN'T STOP ME | Artist Average: 5559422.00 | Streams Average: 5559422.00
Ed Sheeran - I Don't Care (with Justin Bieber) | Artist Average: 5347216.32 | Streams Average: 5712048.67
BLACKPINK - Ice Cream (with Selena Gomez) | Artist Average: 11831333.75 | Streams Average: 14850562.67
JP Saxe - If the World Was Ending - feat. Julia Michaels | Artist Average: 6748032.17 | Streams Average: 6748032.17
Surf Mesa - ily (i love you baby) (feat. Emilee) | Artist Average: 8176778.50 | Streams Average: 8176778.50
Linkin Park - In the End | Artist Average: 4786101.00 | Streams Average: 4786101.00
The Weeknd - In Your Eyes | Artist Average: 13573074.36 | Streams Average: 5950355.17
Justin Bieber - Intentions (feat. Quavo) | Artist Average: 15209179.62 | Streams Average: 7647407.17
Jonas Esticado - Investe Em Mim | Artist Average: 4911477.67 | Streams Average: 4911477.67
Ali Gatie - It's You | Artist Average: 4664433.67 | Streams Average: 4664433.67
Justin Quiles - Jeans | Artist Average: 8974113.17 | Streams Average: 8974113.17
Master KG - Jerusalema (feat. Nomcebo Zikode) | Artist Average: 7030910.50 | Streams Average: 7030910.50
XXXTENTACION - Jocelyn Flores | Artist Average: 5522148.54 | Streams Average: 5851164.00
Noah Cyrus - July | Artist Average: 4555476.50 | Streams Average: 4555476.50
Ava Max - Kings & Queens | Artist Average: 7510730.25 | Streams Average: 8509334.50
Jay Wheeler - La Curiosidad | Artist Average: 13844753.83 | Streams Average: 13844753.83
Nio Garcia - La Jeepeta - Remix | Artist Average: 11496975.83 | Streams Average: 11496975.83
Manuel Turizo - La Nota | Artist Average: 6994662.67 | Streams Average: 8298046.33
Farruko - La Tóxica | Artist Average: 12319067.83 | Streams Average: 12319067.83
Drake - Laugh Now Cry Later (feat. Lil Durk) | Artist Average: 12336172.54 | Streams Average: 18365977.33
Super Yei - Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto) | Artist Average: 6964899.17 | Streams Average: 6964899.17
Internet Money - Lemonade (feat. Gunna, Don Toliver & NAV) | Artist Average: 21318233.56 | Streams Average: 29440176.33
Internet Money - Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix] | Artist Average: 24007512.00 | Streams Average: 5550390.00
Passenger - Let Her Go | Artist Average: 4719876.00 | Streams Average: 4719876.00
Lana Del Rey - Let Me Love You Like A Woman | Artist Average: 4665053.00 | Streams Average: 4665053.00
WhoHeem - Lets Link | Artist Average: 5677784.67 | Streams Average: 5677784.67
Dua Lipa - Levitating (feat. DaBaby) | Artist Average: 8572957.40 | Streams Average: 8441949.00
Future - Life Is Good (feat. Drake) | Artist Average: 6529187.50 | Streams Average: 6529187.50
Justin Bieber - Lonely (with benny blanco) | Artist Average: 15404684.60 | Streams Average: 20511609.00
MEDUZA - Lose Control | Artist Average: 4848361.00 | Streams Average: 4848361.00
Kygo - Lose Somebody | Artist Average: 4777164.33 | Streams Average: 4818601.60
BLACKPINK - Love To Hate Me | Artist Average: 10004186.91 | Streams Average: 8132452.67
Billie Eilish - lovely (with Khalid) | Artist Average: 6194324.44 | Streams Average: 7282520.00
BLACKPINK - Lovesick Girls | Artist Average: 11809596.29 | Streams Average: 17106454.25
Juice WRLD - Lucid Dreams | Artist Average: 7921887.32 | Streams Average: 8040955.33
salem ilese - Mad at Disney | Artist Average: 8947956.67 | Streams Average: 8947956.67
Maluma - Madrid | Artist Average: 12878493.94 | Streams Average: 5500224.00
Black Eyed Peas - MAMACITA | Artist Average: 6151220.17 | Streams Average: 6151220.17
Trueno - Mamichula - con Nicki Nicole | Artist Average: 6385314.33 | Streams Average: 6385314.33
21 Savage - Many Men | Artist Average: 6805558.73 | Streams Average: 8675173.00
Juice WRLD - All Girls Are The Same | Artist Average: 7920635.06 | Streams Average: 5668704.67
Anitta - Me Gusta (with Cardi B & Myke Towers) | Artist Average: 8314623.50 | Streams Average: 8314623.50
Maroon 5 - Memories | Artist Average: 8204397.00 | Streams Average: 8204397.00
Jerry Di - Mi Cuarto | Artist Average: 9828408.33 | Streams Average: 9828408.33
Miley Cyrus - Midnight Sky | Artist Average: 9192389.30 | Streams Average: 11869034.00
Wisin - Mi Niña | Artist Average: 7045647.50 | Streams Average: 7045647.50
Joji - MODUS | Artist Average: 5153777.64 | Streams Average: 6013371.00
Kendrick Lamar - Money Trees | Artist Average: 4708564.50 | Streams Average: 4708564.50
24kGoldn - Mood (feat. iann dior) | Artist Average: 37885130.00 | Streams Average: 37885130.00
Pop Smoke - Mood Swings (feat. Lil Tjay) | Artist Average: 11251424.07 | Streams Average: 12835528.17
XXXTENTACION - Moonlight | Artist Average: 5516014.82 | Streams Average: 4560687.00
DDG - Moonwalking in Calabasas (feat. Blueface) - Remix | Artist Average: 4720544.00 | Streams Average: 4720544.00
21 Savage - Mr. Right Now (feat. Drake) | Artist Average: 7636800.72 | Streams Average: 10045529.25
21 Savage - My Dawg | Artist Average: 6551132.31 | Streams Average: 6029118.00
Machine Gun Kelly - my ex's best friend (with blackbear) | Artist Average: 7919371.64 | Streams Average: 9405466.83
Billie Eilish - my future | Artist Average: 6157659.24 | Streams Average: 5334411.25
Cali Y El Dandee - Nada | Artist Average: 5188578.00 | Streams Average: 5188578.00
Chris Brown - No Guidance (feat. Drake) | Artist Average: 7690510.88 | Streams Average: 4778626.00
21 Savage - No Opp Left Behind | Artist Average: 6744773.20 | Streams Average: 5154955.00
Niack - Oh Juliana | Artist Average: 5105606.50 | Streams Average: 5105606.50
Marshmello - OK Not To Be OK | Artist Average: 5555567.94 | Streams Average: 5693997.00
Bryson Tiller - Outta Time (feat. Drake) | Artist Average: 7762934.00 | Streams Average: 7762934.00
Calvin Harris - Over Now (with The Weeknd) | Artist Average: 5315966.50 | Streams Average: 5315966.50
Octavian - Papi Chulo | Artist Average: 4999465.00 | Streams Average: 4999465.00
Maluma - Parce (feat. Justin Quiles) | Artist Average: 12476685.65 | Streams Average: 7759189.67
StaySolidRocky - Party Girl | Artist Average: 6933230.67 | Streams Average: 6933230.67
Ed Sheeran - Perfect | Artist Average: 5333898.10 | Streams Average: 5654556.50
Ed Sheeran - Photograph | Artist Average: 5255677.21 | Streams Average: 4835254.00
Dua Lipa - Physical | Artist Average: 8532359.67 | Streams Average: 4599807.00
Melanie Martinez - Play Date | Artist Average: 5227887.67 | Streams Average: 5227887.67
DJ Khaled - POPSTAR (feat. Drake) | Artist Average: 11218681.17 | Streams Average: 14533395.50
Feid - PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix | Artist Average: 5100032.25 | Streams Average: 5100032.25
Ariana Grande - positions | Artist Average: 15524291.50 | Streams Average: 41862937.00
Joji - Pretty Boy (feat. Lil Yachty) | Artist Average: 4896009.29 | Streams Average: 5141212.00
BLACKPINK - Pretty Savage | Artist Average: 10631239.40 | Streams Average: 10468684.75
Nelly Furtado - Promiscuous | Artist Average: 4920850.00 | Streams Average: 4920850.00
Ritt Momney - Put Your Records On | Artist Average: 13263720.00 | Streams Average: 13263720.00
Manuel Turizo - Quiéreme Mientras Se Pueda | Artist Average: 6478271.89 | Streams Average: 5568384.67
Lady Gaga - Rain On Me (with Ariana Grande) | Artist Average: 8574213.67 | Streams Average: 9964160.17
Os Barões Da Pisadinha - Recairei - Ao Vivo | Artist Average: 5319789.00 | Streams Average: 5319789.00
Sech - Relación | Artist Average: 11009298.91 | Streams Average: 6165690.33
Sech - Relación - Remix | Artist Average: 11479864.25 | Streams Average: 16794038.17
21 Savage - Rich Nigga Shit (feat. Young Thug) | Artist Average: 6950808.94 | Streams Average: 9129562.00
Regard - Ride It | Artist Average: 6142398.00 | Streams Average: 6303113.17
Juice WRLD - Righteous | Artist Average: 8078728.79 | Streams Average: 4819362.00
21 Savage - RIP Luv | Artist Average: 6921419.67 | Streams Average: 4915080.00
Juice WRLD - Robbery | Artist Average: 7915571.08 | Streams Average: 7659391.67
Post Malone - rockstar (feat. 21 Savage) | Artist Average: 7124283.75 | Streams Average: 5272697.00
DaBaby - ROCKSTAR (feat. Roddy Ricch) | Artist Average: 18529388.00 | Streams Average: 18529388.00
J Balvin - Rojo | Artist Average: 8199103.69 | Streams Average: 5285026.00
SAINt JHN - Roses - Imanbek Remix | Artist Average: 14789072.50 | Streams Average: 14789072.50
Arizona Zervas - ROXANNE | Artist Average: 6330600.50 | Streams Average: 6330600.50
Joji - Run | Artist Average: 4955981.75 | Streams Average: 5375789.00
21 Savage - Runnin | Artist Average: 8069820.58 | Streams Average: 9721889.00
XXXTENTACION - SAD! | Artist Average: 5500910.00 | Streams Average: 5353376.67
Bad Bunny - Safaera | Artist Average: 5141390.89 | Streams Average: 5164178.40
Joji - Sanctuary | Artist Average: 5014471.56 | Streams Average: 5482390.00
Jawsh 685 - Savage Love (Laxed - Siren Beat) | Artist Average: 13993310.10 | Streams Average: 17864345.83
Jawsh 685 - Savage Love (Laxed – Siren Beat) [BTS Remix] | Artist Average: 11317214.29 | Streams Average: 8186756.50
Doja Cat - Say So | Artist Average: 5750568.33 | Streams Average: 5750568.33
James Arthur - Say You Won't Let Go | Artist Average: 6419067.38 | Streams Average: 6178271.33
Lele Pons - Se Te Nota (with Guaynaa) | Artist Average: 10649569.33 | Streams Average: 10649569.33
Regard - Secrets | Artist Average: 6084465.17 | Streams Average: 5178107.00
Shawn Mendes - Señorita | Artist Average: 11528988.00 | Streams Average: 8186042.33
Earth, Wind & Fire - September | Artist Average: 5329256.00 | Streams Average: 5329256.00
Lady Gaga - Shallow | Artist Average: 8256531.45 | Streams Average: 7184267.17
Ed Sheeran - Shape of You | Artist Average: 5327551.00 | Streams Average: 5494900.67
